Date/Time collected,E-mail,Internet,Location,Phone,Provider,Reports,Source,Status,TV,Total Blackout,Wi-fi
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Sacramento, CA",.67%,DirecTV,9,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Austin, TX",.67%,DirecTV,8,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Scottsdale, AZ",.67%,DirecTV,7,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Washington, D.C., DC",.67%,DirecTV,7,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Fort Worth, TX",.67%,DirecTV,7,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"La Mirada, CA",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Raleigh, NC",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Omaha, NE",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Columbia, SC",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Arlington, TX",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Lynchburg, VA",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Brooklyn, NY",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"The Bronx, NY",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Orlando, FL",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"St. Louis, MO",.67%,DirecTV,6,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Philadelphia, PA",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Downey, CA",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Louisville, KY",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Manhattan, NY",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Hampstead, MD",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Waukesha, WI",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Newport Beach, CA",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Stockton, CA",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Salt Lake City, UT",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Bothell, WA",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:13:25,2.67%,7.00%,"Gilbert, AZ",.67%,DirecTV,5,Is the service down, Problems detected ,76.33%,11.67%,1.67%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Los Angeles, CA",50.53%,MetroPCS,35,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Miami, FL",50.53%,MetroPCS,29,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Atlanta, GA",50.53%,MetroPCS,17,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Dallas, TX",50.53%,MetroPCS,17,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Tampa, FL",50.53%,MetroPCS,16,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Brooklyn, NY",50.53%,MetroPCS,15,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Orlando, FL",50.53%,MetroPCS,15,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Denver, CO",50.53%,MetroPCS,15,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Toccoa, GA",50.53%,MetroPCS,14,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Houston, TX",50.53%,MetroPCS,14,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Sacramento, CA",50.53%,MetroPCS,13,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Boca Raton, FL",50.53%,MetroPCS,11,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Pahrump, NV",50.53%,MetroPCS,11,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Johnstown, PA",50.53%,MetroPCS,10,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Philadelphia, PA",50.53%,MetroPCS,9,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Detroit, MI",50.53%,MetroPCS,9,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Hialeah, FL",50.53%,MetroPCS,8,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Stone Mountain, GA",50.53%,MetroPCS,7,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Chicago, IL",50.53%,MetroPCS,7,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Jacksonville, FL",50.53%,MetroPCS,7,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Charlotte, NC",50.53%,MetroPCS,7,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"Fort Lauderdale, FL",50.53%,MetroPCS,6,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"El Centro, CA",50.53%,MetroPCS,6,Is the service down, No problems detected ,,10.68%,2.85%
Thu 21 Mar 2019 13:15:02,4.27%,31.67%,"New York City, NY",50.53%,MetroPCS,6,Is the service down, No problems detected ,,10.68%,2.85%
