4G LTE not working ,4G LTE speed issues ,Cell service down ,Date/Time,Everything is down ,How long ago,Internet down ,Internet speed issues ,Issue,Landline problems ,Location,Provider,Reports in last 20 minutes,Source,Text sending problems ,Website down 
,,,Thu 21 Mar 2019 16:21:35,,4h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,2h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,5m,100%,,Internet down,,"Taylor, MI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,21h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,20h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,19h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,19h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,13h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,12h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,15h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,10h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,10h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,9h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,17%,Thu 21 Mar 2019 16:22:05,17%,5h,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,5h,39%,11%,Cell service down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,4h,39%,11%,Internet down,6%,"Exton, PA",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,2h,39%,11%,Internet down,6%,"Clarkston, MI",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,52m,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,9m,39%,11%,Internet speed issues,6%,"Littleton, CO",AT&T,1,Outage Report,,11%
,,,Thu 21 Mar 2019 17:13:32,,22h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,21h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,20h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,14h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,13h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,22h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,21h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,20h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,14h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,13h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,Mar 19,100%,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,Mar 19,100%,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,Mar 20,100%,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,23h,100%,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,20h,100%,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,56m,100%,,Internet down,,"Salt Lake City, UT",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,21h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,20h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,19h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,13h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,12h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,16h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
