Date collected,Location,Provider,Source,Status,Time collected,bad signal ,internet ,landline internet ,limited channels ,mobile internet ,mobile phone ,no network or reception ,no signal ,no tv ,online viewing ,phone ,total blackout ,tv 
Thu 21 Mar 2019,dallas,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,seattle,T-Mobile,Down detector,No problems,13:12:08,,,,,50%,,,25%,,,25%,,
Thu 21 Mar 2019,denver,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,tucson,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,seattle,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,portland,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,albuquerque,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,dallas,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,phoenix,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,colorado-springs,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,irving,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,lincoln,Dish-Network,Down detector,No problems,13:36:46,,,,37%,,,,,62%,,,,
Thu 21 Mar 2019,norcross,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,houston,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,brooklyn,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,phoenix,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,dayton,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,tampa,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,sumter,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,greenville,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,garland,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,tempe,Cricket-Wireless,Down detector,Possible problems,13:28:14,,,,,15%,,,,,,66%,18%,
Thu 21 Mar 2019,dallas,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,chicago,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,los-angeles,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,houston,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,brooklyn,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,milwaukee,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,new-york,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,saint-louis,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,dayton,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,medford,charter-communications,Down detector,No problems,13:12:11,,71%,,,,,,,,,,7%,20%
Thu 21 Mar 2019,chicago,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,allentown,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,bethlehem,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,new-york,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,washington,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,easton,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,corona,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,northampton,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,whitehall,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,somerville,RCN,Down detector,No problems,13:12:16,,86%,,,,,,,,,,9%,4%
Thu 21 Mar 2019,brooklyn,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,evington,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,bethel,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,cumberland,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,bedford,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,johnstown,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,bradford,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,randallstown,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,bowie,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,lexington-park,Atlantic-Broadband,Down detector,No problems,13:15:02,,88%,,,,,,,,,,11%,
Thu 21 Mar 2019,chicago,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
Thu 21 Mar 2019,new-york,Sprint,Down detector,No problems,13:12:16,,,,,51%,,,,,,39%,9%,
